iata_code,name,iso_country,iso_region,municipality,type,lat,lon
CLR,Cliff Hatfield Memorial Airport,US,US-CA,Calipatria,small,-115.521,33.1315
CLS,Chehalis Centralia Airport,US,US-WA,Chehalis,small,-122.983,46.677
CLT,Charlotte Douglas International Airport,US,US-NC,Charlotte,large,-80.9431,35.214
CLU,Columbus Municipal Airport,US,US-IN,Columbus,medium,-85.8963,39.2619
CLV,Nelson Ribeiro Guimarães Airport,BR,BR-GO,Caldas Novas,small,-48.6075,-17.7253
CLW,Clearwater Air Park,US,US-FL,Clearwater,small,-82.7587,27.9767
CLX,Clorinda Airport,AR,AR-P,Clorinda,small,-57.7344,-25.3036
CLY,Calvi-Sainte-Catherine Airport,FR,FR-COR,Calvi/Sainte-Catherine,medium,8.7931,42.5244
CLZ,Calabozo Airport,VE,VE-J,Guarico,medium,-67.4171,8.9247
CMA,Cunnamulla Airport,AU,AU-QLD,,medium,145.622,-28.03
CMB,Bandaranaike International Colombo Airport,LK,LK-1,Colombo,large,79.8841,7.1808
CMC,Camocim Airport,BR,BR-CE,Camocim,small,-40.858,-2.8962
CMD,Cootamundra Airport,AU,AU-NSW,,medium,148.028,-34.6239
CME,Ciudad del Carmen International Airport,MX,MX-CAM,Ciudad del Carmen,medium,-91.799,18.6537
CMF,Chambéry-Savoie Airport,FR,FR-ARA,ChambÃ©ry/Aix-les-Bains,medium,5.8802,45.6381
CMG,Corumbá International Airport,BR,BR-MS,CorumbÃ¡,medium,-57.6714,-19.0119
CMH,John Glenn Columbus International Airport,US,US-OH,Columbus,large,-82.8919,39.998
CMI,University of Illinois Willard Airport,US,US-IL,Champaign/Urbana,medium,-88.2781,40.0392
CMJ,Chi Mei Airport,TW,TW-PEN,Chi Mei,small,119.418,23.2131
CMK,Club Makokola Airport,MW,MW-MG,Club Makokola,small,35.1325,-14.3069
CML,Camooweal Airport,AU,AU-QLD,,small,138.125,-19.9117
CMM,Carmelita Airport,GT,GT-PE,Carmelita,small,-90.0537,17.4612
CMN,Mohammed V International Airport,MA,MA-CAS,Casablanca,large,-7.59,33.3675
CMO,Obbia Airport,SO,SO-MU,Obbia,small,48.5167,5.3667
CMP,Santana do Araguaia Airport,BR,BR-PA,Santana Do Araguaia,small,-50.3285,-9.32
CMQ,Clermont Airport,AU,AU-QLD,,medium,147.621,-22.7731
CMR,Colmar-Houssen Airport,FR,FR-GES,Colmar/Houssen,medium,7.359,48.1099
CMS,Scusciuban Airport,SO,SO-BR,Scusciuban,small,50.233,10.3
CMT,New Cametá Airport,BR,BR-PA,CametÃ¡,small,-49.56,-2.2468
CMU,Chimbu Airport,PG,PG-CPK,Kundiawa,medium,144.971,-6.0243
CMV,Coromandel Aerodrome,NZ,NZ-WKO,,small,175.509,-36.7917
CMW,Ignacio Agramonte International Airport,CU,CU-09,Camaguey,medium,-77.8475,21.4203
CMX,Houghton County Memorial Airport,US,US-MI,Hancock,medium,-88.4891,47.1684
CMY,Sparta Fort Mc Coy Airport,US,US-WI,Sparta,small,-90.7379,43.9583
CMZ,Caia Airport,MZ,MZ-S,Caia,small,35.3341,-17.8331
CNA,Cananea National Airport,MX,MX-SON,Cananea,small,-110.0979,31.0662
CNB,Coonamble Airport,AU,AU-NSW,,medium,148.376,-30.9833
CNC,Coconut Island Airport,AU,AU-QLD,,small,143.07,-10.05
CND,Mihail Kogălniceanu International Airport,RO,RO-CT,ConstanÅ£a,medium,28.4883,44.3622
CNE,Fremont County Airport,US,US-CO,CaÃ±on City,small,-105.106,38.428
CNF,Tancredo Neves International Airport,BR,BR-MG,Belo Horizonte,large,-43.9719,-19.6244
CNG,Cognac-Châteaubernard (BA 709) Air Base,FR,FR-NAQ,Cognac/ChÃ¢teaubernard,medium,-0.3175,45.6583
CNH,Claremont Municipal Airport,US,US-NH,Claremont,small,-72.3687,43.3704
CNI,Changhai Airport,CN,CN-21,Changhai,medium,122.6669,39.2667
CNJ,Cloncurry Airport,AU,AU-QLD,Cloncurry,medium,140.504,-20.6686
CNK,Blosser Municipal Airport,US,US-KS,Concordia,small,-97.6523,39.5493
CNL,Sindal Airport,DK,DK-81,Sindal,medium,10.2294,57.5035
CNM,Cavern City Air Terminal,US,US-NM,Carlsbad,medium,-104.263,32.3375
CNN,Kannur International Airport,IN,IN-KL,Kannur,medium,75.5472,11.9186
CNO,Chino Airport,US,US-CA,Chino,small,-117.637,33.9747
CNP,Neerlerit Inaat Airport,GL,GL-U-A,Neerlerit Inaat,small,-22.6505,70.7431
CNQ,Corrientes Airport,AR,AR-W,Corrientes,medium,-58.7619,-27.4455
CNR,Chañaral Airport,CL,CL-AT,ChaÃ±aral,medium,-70.6073,-26.3325
CNS,Cairns International Airport,AU,AU-QLD,Cairns,medium,145.755,-16.8858
CNT,Charata Airport,AR,AR-H,Charata,small,-61.2103,-27.2164
CNU,Chanute Martin Johnson Airport,US,US-KS,Chanute,medium,-95.4851,37.6688
CNV,Sócrates Rezende Airport,BR,BR-BA,Canavieiras,small,-38.9547,-15.667
CNW,TSTC Waco Airport,US,US-TX,Waco,small,-97.0741,31.6378
CNX,Chiang Mai International Airport,TH,TH-50,Chiang Mai,large,98.9626,18.7668
CNY,Canyonlands Field,US,US-UT,Moab,small,-109.755,38.755
CNZ,Cangamba Airport,AO,AO-MOX,Cangamba,small,19.8611,-13.7106
COA,Columbia Airport,US,US-CA,Columbia,small,-120.415,38.0304
COB,Coolibah Airport,AU,AU-NT,Coolibah,small,130.962,-15.5483
COC,Comodoro Pierrestegui Airport,AR,AR-E,Concordia,medium,-57.9966,-31.2969
COD,Yellowstone Regional Airport,US,US-WY,Cody,medium,-109.024,44.5202
COE,Coeur D'Alene - Pappy Boyington Field,US,US-ID,Coeur d'Alene,medium,-116.82,47.7743
COF,Patrick Air Force Base,US,US-FL,Cocoa Beach,medium,-80.6101,28.2349
COG,Mandinga Airport,CO,CO-CHO,Condoto,small,-76.7,5.0833
COH,Cooch Behar Airport,IN,IN-WB,,small,89.4672,26.3305
COI,Merritt Island Airport,US,US-FL,Merritt Island,small,-80.6855,28.3416
COJ,Coonabarabran Airport,AU,AU-NSW,,medium,149.267,-31.3325
COK,Cochin International Airport,IN,IN-KL,Kochi,large,76.4019,10.152
COL,Coll Airport,GB,GB-SCT,Coll Island,small,-6.6178,56.6019
COM,Coleman Municipal Airport,US,US-TX,Coleman,small,-99.4036,31.8411
CON,Concord Municipal Airport,US,US-NH,Concord,medium,-71.5023,43.2027
COO,Cadjehoun Airport,BJ,BJ-AQ,Cotonou,medium,2.3844,6.3572
COP,Cooperstown-Westville Airport,US,US-NY,Cooperstown,small,-74.891,42.6292
COQ,Choibalsan Airport,MN,MN-061,,medium,114.646,48.1357
COR,Ingeniero Ambrosio Taravella Airport,AR,AR-X,Cordoba,medium,-64.208,-31.3236
COS,City of Colorado Springs Municipal Airport,US,US-CO,Colorado Springs,large,-104.701,38.8058
COT,Cotulla-La Salle County Airport,US,US-TX,Cotulla,small,-99.2203,28.4567
COU,Columbia Regional Airport,US,US-MO,Columbia,medium,-92.2196,38.8181
COW,Tambillos Airport,CL,CL-CO,Coquimbo,small,-71.2469,-30.1989
COY,Coolawanyah Airport,AU,AU-WA,Coolawanyah Station,small,117.755,-21.7946
COZ,Constanza - Expedición 14 de Junio National Airport,DO,DO-13,Costanza,small,-70.7219,18.9075
CPA,Cape Palmas Airport,LR,LR-MY,Harper,small,-7.6969,4.379
CPB,Capurganá Airport,CO,CO-CHO,CapurganÃ¡,small,-77.35,8.6333
CPC,Aviador C. Campos Airport,AR,AR-Q,Chapelco/San Martin de los Andes,medium,-71.1373,-40.0754
CPD,Coober Pedy Airport,AU,AU-SA,,medium,134.721,-29.04
CPE,Ingeniero Alberto Acuña Ongay International Airport,MX,MX-CAM,Campeche,medium,-90.5003,19.8168
CPF,Ngloram Airport,ID,ID-JT,Tjepu-Java Island,small,111.5482,-7.1948
CPG,Carmen De Patagones Airport,AR,AR-B,Carmen de Patagones,small,-62.9803,-40.7781
CPH,Copenhagen Kastrup Airport,DK,DK-84,Copenhagen,large,12.656,55.6179
CPI,Cape Orford Airport,PG,PG-EBR,,small,152.0819,-5.4483
CPL,Chaparral Airport,CO,CO-TOL,Chaparral,small,-75.467,3.717
CPM,Compton Woodley Airport,US,US-CA,Compton,small,-118.244,33.89
CPN,Cape Rodney Airport,PG,PG-CPM,Cape Rodney,small,148.379,-10.1798
CPO,Desierto de Atacama Airport,CL,CL-AT,Copiapo,medium,-70.7792,-27.2612
CPP,Coposa Airport,CL,CL-TA,Pica,small,-68.6835,-20.7505
CPQ,Amarais Airport,BR,BR-SP,Campinas,small,-47.1082,-22.8592
CPR,Casper-Natrona County International Airport,US,US-WY,Casper,medium,-106.464,42.908
CPS,St Louis Downtown Airport,US,US-IL,Cahokia/St Louis,small,-90.1562,38.5707
CPT,Cape Town International Airport,ZA,ZA-WC,Cape Town,large,18.6017,-33.9648
CPU,Cururupu Airport,BR,BR-MA,Cururupu,small,-44.8669,-1.8211
CPV,Presidente João Suassuna Airport,BR,BR-PB,Campina Grande,medium,-35.8964,-7.2699
CPX,Benjamin Rivera Noriega Airport,PR,PR-U-A,Culebra Island,small,-65.3043,18.3133
CQA,Canarana Airport,BR,BR-MT,Canarana,small,-52.2706,-13.5744
CQD,Shahrekord Airport,IR,IR-08,Shahrekord,medium,50.8422,32.2972
CQF,Calais-Dunkerque Airport,FR,FR-HDF,Calais/Dunkerque,medium,1.9548,50.9621
CQM,Ciudad Real Central Airport,ES,ES-CM,Ciudad Real,closed,-3.97,38.8564
CQP,Cape Flattery Airport,AU,AU-QLD,,small,145.3117,-14.9708
CQS,Costa Marques Airport,BR,BR-RO,Costa Marques,small,-64.2516,-12.4211
CQT,Caquetania Airport,CO,CO-MET,Caquetania,small,-74.2167,2.0333
CRA,Craiova Airport,RO,RO-DJ,Craiova,medium,23.8886,44.3181
CRB,Collarenebri Airport,AU,AU-NSW,,small,148.582,-29.5217
CRC,Santa Ana Airport,CO,CO-VAC,Cartago,medium,-75.9557,4.7582
CRD,General E. Mosconi Airport,AR,AR-U,Comodoro Rivadavia,medium,-67.4655,-45.7853
CRE,Grand Strand Airport,US,US-SC,North Myrtle Beach,medium,-78.7239,33.8117
CRF,Carnot Airport,CF,CF-HS,Carnot,small,15.894,4.937
CRG,Jacksonville Executive at Craig Airport,US,US-FL,Jacksonville,medium,-81.5144,30.3363
CRH,Cherrabah Airport,AU,AU-QLD,Cherrabah Homestead Resort,small,152.089,-28.4301
CRI,Colonel Hill Airport,BS,BS-AC,Colonel Hill,medium,-74.1824,22.7456
CRJ,Coorabie Airport,AU,AU-SA,Coorabie,small,132.296,-31.8944
CRK,Diosdado Macapagal International Airport,PH,PH-PAM,Angeles/Mabalacat,large,120.56,15.186
CRL,Brussels South Charleroi Airport,BE,BE-WHT,Brussels,large,4.4538,50.4592
CRM,Catarman National Airport,PH,PH-NSA,Catarman,medium,124.636,12.5024
CRO,Corcoran Airport,US,US-CA,Corcoran,small,-119.595,36.1025
CRP,Corpus Christi International Airport,US,US-TX,Corpus Christi,large,-97.5012,27.7704
CRQ,Caravelas Airport,BR,BR-BA,Caravelas,medium,-39.2531,-17.6523
CRR,Ceres Airport,AR,AR-S,Ceres,small,-61.9279,-29.8723
CRS,C David Campbell Field Corsicana Municipal Airport,US,US-TX,Corsicana,small,-96.4006,32.0281
CRT,Z M Jack Stell Field,US,US-AR,Crossett,small,-91.8802,33.1783
CRU,Lauriston Airport,GD,GD-PA,Carriacou Island,small,-61.4728,12.4761
CRV,Crotone Airport,IT,IT-78,Crotone,medium,17.0802,38.9972
CRW,Yeager Airport,US,US-WV,Charleston,large,-81.5932,38.3731
CRX,Roscoe Turner Airport,US,US-MS,Corinth,small,-88.6035,34.915
CRY,Carlton Hill Airport,AU,AU-WA,Carlton Hill,small,128.534,-15.5019
CRZ,Turkmenabat Airport,TM,TM-L,TÃ¼rkmenabat,medium,63.6133,39.0833
CSA,Colonsay Airstrip,GB,GB-SCT,Colonsay,small,-6.2431,56.0575
CSB,Caransebeş Airport,RO,RO-CS,CaransebeÅ,medium,22.2533,45.42
CSC,Mojica Airport,CR,CR-G,CaÃ±as,small,-85.1746,10.4307
CSD,Cresswell Downs Airport,AU,AU-NT,Cresswell Downs,small,135.916,-17.948
CSE,Crested Butte Airpark,US,US-CO,Crested Butte,small,-106.9283,38.8519
CSF,Creil Air Base,FR,FR-HDF,Creil,medium,2.5191,49.2535
CSG,Columbus Metropolitan Airport,US,US-GA,Columbus,medium,-84.9389,32.5163
CSH,Solovki Airport,RU,RU-ARK,Solovetsky Islands,small,35.7333,65.03
CSI,Casino Airport,AU,AU-NSW,,small,153.067,-28.8828
CSK,Cap Skirring Airport,SN,SN-ZG,Cap Skirring,medium,-16.748,12.3953
CSM,Clinton Sherman Airport,US,US-OK,Clinton,small,-99.2005,35.3398
CSN,Carson Airport,US,US-NV,Carson City,small,-119.734,39.1922
CSO,Cochstedt Airport,DE,DE-ST,Magdeburg,small,11.4203,51.8564
CSQ,Creston Municipal Airport,US,US-IA,Creston,small,-94.3633,41.0214
CSR,Casuarito Airport,CO,CO-VID,Casuarito,small,-68.1333,5.8333
CSS,Cassilândia Airport,BR,BR-MS,CassilÃ¢ndia,small,-51.6769,-19.1469
CST,Castaway Island Seaplane Base,FJ,FJ-W,Castaway Island,seaplane_base,177.129,-17.7358
CSU,Santa Cruz do Sul Airport,BR,BR-RS,Santa Cruz Do Sul,small,-52.4122,-29.6841
CSV,Crossville Memorial Whitson Field,US,US-TN,Crossville,medium,-85.085,35.9513
CSX,Changsha Huanghua International Airport,CN,CN-43,Changsha,large,113.22,28.1892
CSY,Cheboksary Airport,RU,RU-CU,Cheboksary,medium,47.3473,56.0903
CSZ,Brigadier D.H.E. Ruiz Airport,AR,AR-B,Coronel Suarez,small,-61.8893,-37.4461
CTA,Catania-Fontanarossa Airport,IT,IT-82,Catania,large,15.0664,37.4668
CTB,Cut Bank International Airport,US,US-MT,Cut Bank,medium,-112.376,48.6084
CTC,Catamarca Airport,AR,AR-K,Catamarca,medium,-65.7517,-28.5956
CTD,Alonso Valderrama Airport,PA,PA-6,ChitrÃ©,medium,-80.4097,7.9878
CTE,Carti Airport,PA,PA-KY,Carti,small,-79.1016,9.3135
CTF,Coatepeque Airport,GT,GT-QZ,Coatepeque,small,-91.8825,14.6942
CTG,Rafael Nuñez International Airport,CO,CO-BOL,Cartagena,medium,-75.513,10.4424
CTH,Chester County G O Carlson Airport,US,US-PA,Coatesville,small,-75.8655,39.979
CTI,Cuito Cuanavale Airport,AO,AO-CCU,Cuito Cuanavale,small,19.1561,-15.1603
CTK,Canton Municipal Airport,US,US-SD,Canton,small,-96.571,43.3089
CTL,Charleville Airport,AU,AU-QLD,Charleville,medium,146.262,-26.4133
CTM,Chetumal International Airport,MX,MX-ROO,Chetumal,medium,-88.3268,18.5047
CTN,Cooktown Airport,AU,AU-QLD,,medium,145.184,-15.4447
CTO,Calverton Executive Airpark,US,US-NY,Calverton,small,-72.7919,40.9151
CTP,Carutapera Airport,BR,BR-MA,Carutapera,small,-46.0172,-1.2503
CTQ,Santa Vitória do Palmar Airport,BR,BR-RS,Santa VitÃ³ria Do Palmar,small,-53.3442,-33.5022
CTR,Cattle Creek Airport,AU,AU-NT,,small,131.549,-17.607
CTS,New Chitose Airport,JP,JP-01,Chitose / Tomakomai,large,141.692,42.7752
CTT,Le Castellet Airport,FR,FR-PAC,Le Castellet,medium,5.7852,43.2525
CTU,Chengdu Shuangliu International Airport,CN,CN-51,Chengdu,large,103.947,30.5785
CTX,Cortland County Chase Field,US,US-NY,Cortland,small,-76.2149,42.5926
CTY,Cross City Airport,US,US-FL,Cross City,small,-83.1048,29.6355
CTZ,Sampson County Airport,US,US-NC,Clinton,small,-78.3646,34.9756
CUA,Ciudad Constitución Airport,MX,MX-BCS,Ciudad ConstituciÃ³n,medium,-111.615,25.0538
CUB,Jim Hamilton L.B. Owens Airport,US,US-SC,Columbia,medium,-80.9952,33.9705
CUC,Camilo Daza International Airport,CO,CO-NSA,CÃºcuta,medium,-72.5115,7.9276
CUD,Caloundra Airport,AU,AU-QLD,,small,153.1,-26.8
CUE,Mariscal Lamar Airport,EC,EC-A,Cuenca,medium,-78.9844,-2.8895
CUF,Cuneo International Airport,IT,IT-21,Cuneo,medium,7.6232,44.547
CUG,Cudal Airport,AU,AU-NSW,,small,148.763,-33.2783
CUH,Cushing Municipal Airport,US,US-OK,Cushing,small,-96.7731,35.9499
CUI,Currillo Airport,CO,CO-CAS,Currillo,small,-72.0,4.6667
CUJ,Culion Airport,PH,PH-PLW,Culion Island,small,119.9378,11.8553
CUK,Caye Caulker Airport,BZ,BZ-BZ,Caye Caulker,medium,-88.0325,17.7347
CUL,Bachigualato Federal International Airport,MX,MX-SIN,CuliacÃ¡n,medium,-107.475,24.7645
CUM,Cumaná (Antonio José de Sucre) Airport,VE,VE-R,,medium,-64.1305,10.4503
CUN,Cancún International Airport,MX,MX-ROO,CancÃºn,large,-86.8771,21.0365
CUO,Carurú Airport,CO,CO-VAU,CarurÃº,small,-71.2961,1.0136
CUP,General Francisco Bermúdez Airport,VE,VE-R,CarÃºpano,medium,-63.2617,10.66
CUQ,Coen Airport,AU,AU-QLD,Coen,medium,143.1133,-13.7611
CUR,Hato International Airport,CW,CW-U-A,Willemstad,medium,-68.9598,12.1889
CUT,Cutral-Co Airport,AR,AR-Q,Cutral-Co,medium,-69.2646,-38.9397
CUU,General Roberto Fierro Villalobos International Airport,MX,MX-CHH,Chihuahua,medium,-105.965,28.7029
CUV,Casigua El Cubo Airport,VE,VE-V,Casigua El Cubo,small,-72.5363,8.7581
CUY,Cue Airport,AU,AU-WA,,small,117.918,-27.4467
CUZ,Alejandro Velasco Astete International Airport,PE,PE-CUS,Cusco,large,-71.9388,-13.5357
CVB,Chungribu Airport,PG,PG-MPM,Chungribu,small,144.715,-4.8066
CVC,Cleve Airport,AU,AU-SA,,medium,136.505,-33.7097
CVE,Coveñas Airport,CO,CO-SUC,CoveÃ±as,medium,-75.6913,9.4009
CVF,Courchevel Airport,FR,FR-ARA,Courchevel,small,6.6347,45.3967
CVG,Cincinnati Northern Kentucky International Airport,US,US-KY,Cincinnati / Covington,large,-84.6678,39.0488
CVH,Caviahue Airport,AR,AR-Q,Lafontaine,small,-71.0092,-37.8514
CVI,Caleta Olivia Airport,AR,AR-Z,Caleta Olivia,small,-67.5186,-46.4318
CVJ,General Mariano Matamoros Airport,MX,MX-MOR,,medium,-99.2613,18.8348
CVL,Cape Vogel Airport,PG,PG-MBA,,small,150.0197,-9.67
CVM,General Pedro Jose Mendez International Airport,MX,MX-TAM,Ciudad Victoria,medium,-98.9565,23.7033
CVN,Clovis Municipal Airport,US,US-NM,Clovis,small,-103.079,34.4251
CVO,Corvallis Municipal Airport,US,US-OR,Corvallis,medium,-123.29,44.4972
CVQ,Carnarvon Airport,AU,AU-WA,Carnarvon,medium,113.6717,-24.8802
CVR,Hughes Airport,US,US-CA,Culver City,closed,-118.417,33.975
CVS,Cannon Air Force Base,US,US-NM,Clovis,large,-103.322,34.3828
CVT,Coventry Airport,GB,GB-ENG,Coventry,medium,-1.4797,52.3697
CVU,Corvo Airport,PT,PT-20,Corvo,small,-31.1136,39.6715
CWA,Central Wisconsin Airport,US,US-WI,Mosinee,medium,-89.6668,44.7776
CWB,Afonso Pena Airport,BR,BR-PR,Curitiba,large,-49.1758,-25.5285
CWC,Chernivtsi International Airport,UA,UA-77,Chernivtsi,medium,25.9808,48.2593
CWF,Chennault International Airport,US,US-LA,Lake Charles,small,-93.1432,30.2106
CWI,Clinton Municipal Airport,US,US-IA,Clinton,small,-90.3291,41.8311
CWJ,Cangyuan Washan Airport,CN,CN-53,Cangyuan Va Autonomous County,medium,99.3736,23.2739
CWL,Cardiff International Airport,GB,GB-WLS,Cardiff,large,-3.3433,51.3967
CWP,Campbellpore Airport,PK,PK-PB,Campbellpore,small,72.3669,33.7667
CWR,Cowarie Airport,AU,AU-SA,,small,138.328,-27.7117
CWS,Center Island Airport,US,US-WA,Center Island,small,-122.832,48.4901
CWT,Cowra Airport,AU,AU-NSW,,medium,148.649,-33.8447
CWW,Corowa Airport,AU,AU-NSW,,medium,146.357,-35.9947
CWX,Cochise County Airport,US,US-AZ,Willcox,small,-109.895,32.2454
CXA,Caicara del Orinoco Airport,VE,VE-F,,medium,-66.1628,7.6255
CXB,Cox's Bazar Airport,BD,BD-2,Cox's Bazar,medium,91.9639,21.4522
CXC,Chitina Airport,US,US-AK,Chitina,small,-144.427,61.5829
CXF,Coldfoot Airport,US,US-AK,Coldfoot,small,-150.204,67.2522
CXH,Vancouver Harbour Water Aerodrome,CA,CA-BC,Vancouver,seaplane_base,-123.111,49.2944
CXI,Cassidy International Airport,KI,KI-L,Banana,medium,-157.35,1.9862
CXJ,Hugo Cantergiani Regional Airport,BR,BR-RS,Caxias Do Sul,medium,-51.1875,-29.1971
CXL,Calexico International Airport,US,US-CA,Calexico,small,-115.513,32.6695
CXM,Camaxilo Airport,AO,AO-LNO,Camaxilo,small,18.9236,-8.3736
CXN,Candala Airport,SO,SO-BR,Candala,small,49.9085,11.494
CXO,Conroe-North Houston Regional Airport,US,US-TX,Houston,medium,-95.4145,30.3518
CXP,Tunggul Wulung Airport,ID,ID-JT,Cilacap-Java Island,medium,109.034,-7.6451
CXQ,Christmas Creek Station Airport,AU,AU-WA,Christmas Creek,small,125.9338,-18.8728
CXR,Cam Ranh Airport,VN,VN-34,Nha Trang,medium,109.219,11.9982
CXT,Charters Towers Airport,AU,AU-QLD,,small,146.273,-20.0431
CXY,Cat Cay Airport,BS,BS-BI,North Cat Cay,small,-79.2752,25.5546
CYA,Les Cayes Airport,HT,HT-SD,Les Cayes,medium,-73.7883,18.2711
CYB,Gerrard Smith International Airport,KY,KY-U-A,Cayman Brac,medium,-79.8828,19.687
CYC,Caye Chapel Airport,BZ,BZ-BZ,Caye Chapel,medium,-88.0411,17.7008
CYD,San Ignacio Town (Maya Flats) Airstrip,BZ,BZ-CY,Maya Flats,small,-89.1011,17.1049
CYF,Chefornak Airport,US,US-AK,Chefornak,small,-164.2792,60.1367
CYG,Corryong Airport,AU,AU-VIC,,medium,147.888,-36.1828
CYI,Chiayi Airport,TW,TW-CYQ,Chiayi City,medium,120.393,23.4618
CYL,Coyoles Airport,HN,HN-YO,Coyoles,small,-86.6753,15.4456
CYM,Chatham Seaplane Base,US,US-AK,Chatham,seaplane_base,-134.946,57.5149
CYO,Vilo Acuña International Airport,CU,CU-99,Cayo Largo del Sur,medium,-81.546,21.6165
CYP,Calbayog Airport,PH,PH-WSA,Calbayog City,medium,124.545,12.0727
CYR,Laguna de Los Patos International Airport,UY,UY-CO,Colonia del Sacramento,small,-57.7706,-34.4564
CYS,Cheyenne Regional Jerry Olson Field,US,US-WY,Cheyenne,medium,-104.812,41.1557
CYT,Yakataga Airport,US,US-AK,Yakataga,small,-142.4945,60.081
CYU,Cuyo Airport,PH,PH-PLW,Cuyo,small,121.069,10.8581
CYW,Captain Rogelio Castillo National Airport,MX,MX-GUA,Celaya,medium,-100.887,20.546
CYX,Cherskiy Airport,RU,RU-SA,Cherskiy,medium,161.338,68.7406
CYZ,Cauayan Airport,PH,PH-ISA,Cauayan City,medium,121.753,16.9299
CZA,Chichen Itza International Airport,MX,MX-YUC,Chichen Itza,medium,-88.4462,20.6413
CZB,Carlos Ruhl Airport,BR,BR-RS,Cruz Alta,small,-53.6106,-28.6578
CZC,Copper Center 2 Airport,US,US-AK,Copper Center,small,-145.294,61.9412
CZE,José Leonardo Chirinos Airport,VE,VE-I,Coro,medium,-69.6809,11.4149
CZF,Cape Romanzof LRRS Airport,US,US-AK,Cape Romanzof,medium,-166.039,61.7803
CZH,Corozal Municipal Airport,BZ,BZ-CZL,Corozal,medium,-88.4119,18.3822
CZJ,Corazón de Jesús Airport,PA,PA-KY,CorazÃ³n de JesÃºs and NarganÃ¡ Islands,small,-78.5888,9.4446
CZK,Cascade Locks State Airport,US,US-OR,Cascade Locks,small,-121.879,45.6769
CZL,Mohamed Boudiaf International Airport,DZ,DZ-25,Constantine,medium,6.6204,36.276
CZM,Cozumel International Airport,MX,MX-ROO,Cozumel,medium,-86.9256,20.5224
CZN,Chisana Airport,US,US-AK,Chisana,small,-142.048,62.0712
CZO,Chistochina Airport,US,US-AK,Chistochina,small,-144.669,62.5635
CZP,Cape Pole Seaplane Base,US,US-AK,Cape Pole,seaplane_base,-133.797,55.9663
CZS,Cruzeiro do Sul Airport,BR,BR-AC,Cruzeiro Do Sul,medium,-72.7695,-7.5999
CZT,Dimmit County Airport,US,US-TX,Carrizo Springs,small,-99.8236,28.5222
CZU,Las Brujas Airport,CO,CO-SUC,Corozal,medium,-75.2856,9.3327
CZW,Częstochowa-Rudniki,PL,PL-SL,CzÄstochowa,small,19.2047,50.885
CZX,Changzhou Benniu Airport,CN,CN-32,Changzhou,small,119.779,31.9197
CZY,Cluny Airport,AU,AU-QLD,,small,139.617,-24.5167
DAA,Davison Army Air Field,US,US-VA,Fort Belvoir,medium,-77.181,38.715
DAB,Daytona Beach International Airport,US,US-FL,Daytona Beach,large,-81.0581,29.1799
DAC,Hazrat Shahjalal International Airport,BD,BD-3,Dhaka,large,90.3978,23.8433
DAD,Da Nang International Airport,VN,VN-60,Da Nang,large,108.199,16.0439
DAF,Daup Airport,PG,PG-MPM,,small,145.9515,-4.7403
DAG,Barstow Daggett Airport,US,US-CA,Daggett,medium,-116.787,34.8537
DAK,Dakhla Airport,EG,EG-WAD,,small,29.0031,25.4116
DAL,Dallas Love Field,US,US-TX,Dallas,large,-96.8518,32.8471
DAM,Damascus International Airport,SY,SY-DI,Damascus,large,36.5156,33.4115
DAN,Danville Regional Airport,US,US-VA,Danville,medium,-79.3361,36.5729
DAO,Dabo Airport,PG,PG-NPP,,small,147.8431,-8.4319
DAP,Darchula Airport,NP,NP-MA,Darchula,small,80.5484,29.6692
DAR,Julius Nyerere International Airport,TZ,TZ-02,Dar es Salaam,large,39.2026,-6.8781
DAS,Great Bear Lake Airport,CA,CA-NT,Great Bear Lake,small,-119.707,66.7031
DAT,Datong Airport,CN,CN-14,Datong,small,113.482,40.0603
DAU,Daru Airport,PG,PG-WPD,Daru,medium,143.208,-9.0868
DAV,Enrique Malek International Airport,PA,PA-4,David,medium,-82.435,8.391
DAX,Dachuan Airport,CN,CN-51,Dazhou,small,107.4295,31.1302
DAY,James M Cox Dayton International Airport,US,US-OH,Dayton,large,-84.2194,39.9024
DAZ,Darwaz Airport,AF,AF-BDS,Darwaz,small,70.8825,38.4611
DBA,Dalbandin Airport,PK,PK-BA,Dalbandin,small,64.3998,28.8783
DBB,El Alamein International Airport,EG,EG-MT,El Alamein,medium,28.4614,30.9245
DBC,Baicheng Chang'an Airport,CN,CN-22,Baicheng,medium,123.0197,45.5053
DBD,Dhanbad Airport,IN,IN-BR,,medium,86.4253,23.834
DBK,Dutch Bay SPB,LK,LK-6,Kalpitiya Island,seaplane_base,79.756,8.273
DBM,Debra Marcos Airport,ET,ET-AM,Debra Marcos,small,37.717,10.35
DBN,W H 'Bud' Barron Airport,US,US-GA,Dublin,small,-82.9853,32.5644
DBO,Dubbo City Regional Airport,AU,AU-NSW,Dubbo,medium,148.575,-32.2167
DBP,Debepare Airport,PG,PG-WPD,Debepare,small,141.9056,-6.3086
DBQ,Dubuque Regional Airport,US,US-IA,Dubuque,large,-90.7095,42.402
DBS,Dubois Municipal Airport,US,US-ID,Dubois,small,-112.226,44.1666
DBT,Debre Tabor Airport,ET,ET-AM,Debre Tabor,small,38.0,11.967
DBU,Dambulu Oya Tank Seaplane Base,LK,LK-2,Dambulla,seaplane_base,80.6304,7.8604
