iata_code,name,iso_country,iso_region,municipality,type,lat,lon
ADL,Adelaide International Airport,AU,AU-SA,Adelaide,large,138.531,-34.945
ADM,Ardmore Municipal Airport,US,US-OK,Ardmore,small,-97.0196,34.303
ADN,Andes Airport,CO,CO-ANT,Andes,closed,-75.8804,5.6976
ADO,Andamooka Airport,AU,AU-SA,,small,137.137,-30.4383
ADP,Ampara Airport,LK,LK-5,Ampara,medium,81.6259,7.3378
ADQ,Kodiak Airport,US,US-AK,Kodiak,medium,-152.494,57.75
ADR,Robert F Swinnie Airport,US,US-SC,Andrews,small,-79.5262,33.4517
ADS,Addison Airport,US,US-TX,Dallas,small,-96.8364,32.9686
ADT,Ada Regional Airport,US,US-OK,Ada,small,-96.6713,34.8043
ADU,Ardabil Airport,IR,IR-03,Ardabil,medium,48.4244,38.3257
ADV,El Daein Airport,SD,SD-DE,El Daein,small,26.1186,11.4023
ADW,Joint Base Andrews,US,US-MD,Camp Springs,large,-76.867,38.8108
ADX,RAF Leuchars,GB,GB-SCT,St. Andrews,medium,-2.8684,56.3729
ADY,Alldays Airport,ZA,ZA-NP,Alldays,small,29.0555,-22.679
ADZ,Gustavo Rojas Pinilla International Airport,CO,CO-SAP,San AndrÃ©s,medium,-81.7112,12.5836
AEA,Abemama Atoll Airport,KI,KI-G,Abemama Atoll,small,173.829,0.4908
AEB,Baise Youjiang Airport,CN,CN-45,Baise,medium,106.96,23.7206
AEE,Adareil Airport,SS,SS-23,,small,32.9594,10.0536
AEG,Aek Godang Airport,ID,ID-SU,Padang Sidempuan-Sumatra Island,medium,99.4305,1.4001
AEH,Abeche Airport,TD,TD-OD,,medium,20.8443,13.847
AEI,Algeciras Heliport,ES,ES-CA,Algeciras,heliport,-5.4411,36.1289
AEK,Aseki Airport,PG,PG-MPL,Aseki,small,146.1939,-7.3508
AEL,Albert Lea Municipal Airport,US,US-MN,Albert Lea,small,-93.3672,43.6815
AEM,Amgu Airport,RU,RU-PRI,Amgu,small,137.6736,45.8413
AEO,Aioun el Atrouss Airport,MR,MR-02,Aioun El Atrouss,small,-9.6379,16.7113
AEP,Jorge Newbery Airpark,AR,AR-C,Buenos Aires,medium,-58.4156,-34.5592
AEQ,Ar Horqin Airport,CN,CN-15,Chifeng,small,120.1596,43.8704
AER,Sochi International Airport,RU,RU-KDA,Sochi,large,39.9566,43.4499
AES,Ålesund Airport,NO,NO-15,Ãlesund,medium,6.1197,62.5625
AET,Allakaket Airport,US,US-AK,Allakaket,small,-152.622,66.5518
AEU,Abu Musa Island Airport,IR,IR-23,Abu Musa,medium,55.033,25.8757
AEX,Alexandria International Airport,US,US-LA,Alexandria,medium,-92.5498,31.3274
AEY,Akureyri Airport,IS,IS-6,Akureyri,medium,-18.0727,65.66
AFA,Suboficial Ay Santiago Germano Airport,AR,AR-M,San Rafael,medium,-68.4039,-34.5883
AFD,Port Alfred Airport,ZA,ZA-EC,Port Alfred,small,26.8777,-33.5542
AFF,USAF Academy Airfield,US,US-CO,Colorado Springs,small,-104.813,38.9697
AFI,Amalfi Airport,CO,CO-ANT,Amalfi,small,-75.0667,6.9167
AFK,Kondavattavana Tank Seaplane Base,LK,LK-5,Ampara,seaplane_base,81.644,7.284
AFL,Piloto Osvaldo Marques Dias Airport,BR,BR-MT,Alta Floresta,medium,-56.105,-9.8664
AFN,Jaffrey Airport Silver Ranch Airport,US,US-NH,Jaffrey,small,-72.003,42.8051
AFO,Afton Municipal Airport,US,US-WY,Afton,small,-110.942,42.7112
AFR,Afore Airstrip,PG,PG-NPP,,small,148.3908,-9.1422
AFS,Sugraly Airport,UZ,UZ-NW,Zarafshan,small,64.2332,41.6139
AFT,Afutara Aerodrome,SB,SB-ML,Bila,small,160.9486,-9.1914
AFW,Fort Worth Alliance Airport,US,US-TX,Fort Worth,large,-97.3188,32.9876
AFY,Afyon Airport,TR,TR-03,Afyonkarahisar,medium,30.6011,38.7264
AFZ,Sabzevar National Airport,IR,IR-30,Sabzevar,medium,57.5952,36.1681
AGA,Al Massira Airport,MA,MA-AGD,Agadir,medium,-9.4131,30.325
AGB,Augsburg Airport,DE,DE-BY,Augsburg,medium,10.9317,48.4253
AGC,Allegheny County Airport,US,US-PA,Pittsburgh,medium,-79.9302,40.3544
AGD,Anggi Airport,ID,ID-PB,Anggi-Papua Island,small,133.8737,-1.3858
AGE,Wangerooge Airport,DE,DE-NI,Wangerooge,small,7.9139,53.7828
AGF,Agen-La Garenne Airport,FR,FR-NAQ,Agen/La Garenne,medium,0.5906,44.1747
AGG,Angoram Airport,PG,PG-ESW,Angoram,small,144.0739,-4.0558
AGH,Ängelholm-Helsingborg Airport,SE,SE-M,Ãngelholm,medium,12.8471,56.2961
AGI,Wageningen Airstrip,SR,SR-NI,Wageningen,small,-56.6733,5.8411
AGJ,Aguni Airport,JP,JP-47,Aguni,small,127.241,26.5925
AGK,Kagua Airport,PG,PG-SHM,Kagua,small,143.8536,-6.3964
AGL,Wanigela Airport,PG,PG-NPP,,small,149.1556,-9.3375
AGM,Tasiilaq Heliport,GL,GL-U-A,Tasiilaq,heliport,-37.6183,65.6123
AGN,Angoon Seaplane Base,US,US-AK,Angoon,seaplane_base,-134.585,57.5036
AGO,Ralph C Weiser Field,US,US-AR,Magnolia,small,-93.217,33.228
